"id_policy","type_insurance","modality","id_client","issue_date","start_date","end_date","policy_status","premium_monthly","premium_annual","insured_amount","deductible"
21,"life","monthly",57,2025-01-30,2025-01-31,2030-01-30,"active",76.18,914.16,80713.38,1151.59
22,"home","monthly",89,2024-12-10,2024-12-11,2026-12-11,"active",40.98,491.76,55106.02,2059.39
23,"health","monthly",34,2024-05-30,2024-05-31,2029-05-30,"active",84.64,1015.68,18576.97,3945.49
24,"life","annual",3,2025-01-17,2025-01-18,2026-01-18,"expired",184.55,2214.6,46677.05,4823.06
25,"health","quarterly",67,2024-06-25,2024-06-26,2027-06-26,"active",72.96,875.52,52025.28,2695.05
26,"life","monthly",48,2024-03-10,2024-03-11,2026-03-11,"active",97.85,1174.2,61650.89,240.57
27,"auto","quarterly",9,2024-11-25,2024-11-26,2027-11-26,"renewed",189.42,2273.04,70237.93,1394.14
28,"health","monthly",12,2024-03-26,2024-03-27,2025-03-27,"canceled",72.85,874.2,41019.29,1868.54
29,"home","annual",15,2023-08-08,2023-08-09,2024-08-08,"suspended",162.65,1951.8,44747.89,1891.92
30,"auto","annual",94,2024-02-12,2024-02-13,2026-02-12,"suspended",125.7,1508.4,71747.16,3219.88
31,"home","annual",28,2025-03-20,2025-03-21,2030-03-20,"renewed",192.49,2309.88,99950.05,1270.46
32,"life","quarterly",47,2023-10-21,2023-10-22,2024-10-21,"active",124.83,1497.96,81781.95,4736.23
33,"health","quarterly",86,2023-05-25,2023-05-26,2025-05-25,"active",27.51,330.12,90476.63,3722.66
34,"life","monthly",48,2024-08-28,2024-08-29,2025-08-29,"expired",71.13,853.56,83642.33,609.96
35,"life","monthly",99,2024-10-24,2024-10-25,2027-10-25,"expired",152.8,1833.6,12200,2578.7
36,"health","annual",89,2024-07-03,2024-07-04,2026-07-04,"active",197.56,2370.72,30421.76,2102.75
37,"life","annual",62,2023-09-20,2023-09-21,2026-09-20,"active",61.43,737.16,96295.15,1342.96
38,"home","monthly",2,2024-08-18,2024-08-19,2029-08-18,"active",118.97,1427.64,92434.23,3972.62
39,"home","annual",49,2024-10-26,2024-10-27,2025-10-27,"active",79.36,952.32,58849.77,3993.74
40,"health","monthly",44,2025-07-09,2025-07-10,2028-07-09,"active",162.64,1951.68,22977.46,3693.45
41,"auto","annual",98,2025-04-08,2025-04-09,2028-04-08,"canceled",132.66,1591.92,12983.03,158.58
42,"home","annual",17,2023-11-16,2023-11-17,2028-11-15,"canceled",71.74,860.88,23266.81,2550.48
43,"health","monthly",10,2025-02-21,2025-02-22,2027-02-22,"active",21.92,263.04,34502.95,2598.56
44,"auto","quarterly",70,2024-08-19,2024-08-20,2025-08-20,"active",198.54,2382.48,7322.63,2365.17
45,"health","annual",47,2023-03-28,2023-03-29,2028-03-27,"active",104.03,1248.36,87807.33,2641.55
46,"health","quarterly",18,2025-05-08,2025-05-09,2028-05-08,"active",101.61,1219.32,54378.06,1540.18
47,"health","quarterly",15,2023-12-05,2023-12-06,2024-12-05,"active",163.32,1959.84,56224.01,3547.42
48,"health","quarterly",96,2023-07-19,2023-07-20,2026-07-19,"active",153.57,1842.84,63388.57,4627.82
49,"life","monthly",11,2025-02-08,2025-02-09,2030-02-08,"active",52.07,624.84,11146.26,858.91
50,"home","monthly",67,2023-04-17,2023-04-18,2026-04-17,"active",24.8,297.6,73299.38,1629.97
51,"life","annual",13,2025-06-09,2025-06-10,2028-06-09,"canceled",52.22,626.64,9066.8,4251.13
52,"auto","annual",97,2024-04-13,2024-04-14,2029-04-13,"expired",95.68,1148.16,41808.85,1875.05
53,"life","quarterly",21,2024-10-10,2024-10-11,2027-10-11,"active",141.36,1696.32,85372,365.4
54,"health","monthly",75,2025-07-17,2025-07-18,2027-07-18,"active",187.05,2244.6,15433.27,4746.2
55,"health","quarterly",17,2023-10-02,2023-10-03,2028-10-01,"active",82.3,987.6,60075.1,2938.55
56,"life","annual",25,2023-01-15,2023-01-16,2026-01-15,"active",115.39,1384.68,50883.02,376.79
57,"life","annual",55,2023-06-16,2023-06-17,2028-06-15,"active",144.93,1739.16,43223.4,3523.88
58,"home","monthly",99,2025-08-29,2025-08-30,2026-08-30,"active",106.91,1282.92,96935.85,3478.27
59,"life","monthly",3,2024-12-23,2024-12-24,2029-12-23,"expired",81.1,973.2,92630.51,4154.92
60,"home","quarterly",22,2025-06-28,2025-06-29,2030-06-28,"canceled",120.4,1444.8,46020.69,4742.75
61,"auto","quarterly",5,2024-06-24,2024-06-25,2029-06-24,"active",96.86,1162.32,53286.45,3586.73
62,"life","annual",50,2024-01-08,2024-01-09,2026-01-08,"active",194.32,2331.84,63690.39,2921.35
63,"auto","quarterly",22,2024-07-03,2024-07-04,2029-07-03,"canceled",34.99,419.88,89813.17,1328.71
64,"health","monthly",39,2025-01-22,2025-01-23,2030-01-22,"renewed",178.53,2142.36,99684.1,1685.73
65,"life","annual",27,2025-09-29,2025-09-30,2026-09-30,"expired",85.65,1027.8,31700.1,1208.02
66,"life","quarterly",95,2024-12-08,2024-12-09,2027-12-09,"active",160.64,1927.68,16697.84,607.6
67,"auto","monthly",90,2023-02-22,2023-02-23,2025-02-22,"active",48.19,578.28,34658.21,949.86
68,"life","quarterly",49,2023-06-27,2023-06-28,2028-06-26,"active",54.49,653.88,50719.99,4777.8
69,"auto","quarterly",80,2023-03-04,2023-03-05,2026-03-04,"suspended",78.71,944.52,14468.9,1987.64
70,"life","quarterly",69,2025-04-15,2025-04-16,2028-04-15,"active",118.33,1419.96,46726.41,3590.81
71,"home","quarterly",87,2023-06-03,2023-06-04,2026-06-03,"active",194.17,2330.04,77616.31,4027.29
72,"health","quarterly",1,2024-07-04,2024-07-05,2026-07-05,"active",141.18,1694.16,70277.68,4250.7
73,"health","quarterly",8,2023-12-30,2023-12-31,2025-12-30,"active",140.78,1689.36,98077.49,3839.41
74,"life","quarterly",92,2023-07-16,2023-07-17,2024-07-16,"active",44.19,530.28,14897.56,1831.1
75,"home","quarterly",77,2025-04-04,2025-04-05,2030-04-04,"active",150.68,1808.16,56291.59,2936.81
76,"home","quarterly",18,2025-03-24,2025-03-25,2028-03-24,"canceled",157.01,1884.12,76307.47,3160.57
77,"home","monthly",81,2025-03-20,2025-03-21,2026-03-21,"active",188.54,2262.48,61891.77,2763.35
78,"health","monthly",88,2023-06-22,2023-06-23,2026-06-22,"active",73.25,879,97718.58,1562.68
79,"auto","annual",73,2025-08-06,2025-08-07,2030-08-06,"active",152.28,1827.36,58261.12,3974.79
80,"home","quarterly",10,2023-06-24,2023-06-25,2024-06-24,"canceled",78.57,942.84,28480.62,2082.54
81,"health","monthly",84,2025-02-14,2025-02-15,2028-02-15,"active",37.59,451.08,24624.03,1864.29
82,"home","annual",21,2023-07-13,2023-07-14,2028-07-12,"active",170.28,2043.36,84797.06,2517.92
83,"home","quarterly",21,2024-11-16,2024-11-17,2027-11-17,"active",74.74,896.88,7072.58,1658.03
84,"auto","annual",22,2025-03-30,2025-03-31,2030-03-30,"active",45.44,545.28,81696.32,3888.14
85,"home","annual",21,2024-05-25,2024-05-26,2025-05-26,"expired",33.28,399.36,92036.16,962.41
86,"health","annual",100,2025-04-14,2025-04-15,2027-04-15,"active",158.87,1906.44,14669.08,4640.35
87,"auto","monthly",90,2024-07-02,2024-07-03,2027-07-03,"active",107.48,1289.76,32682.94,517.51
88,"health","quarterly",38,2025-06-14,2025-06-15,2026-06-15,"active",31.94,383.28,20971.9,3903.07
89,"life","quarterly",36,2023-12-07,2023-12-08,2028-12-06,"active",161.45,1937.4,22572.81,2076.37
90,"health","quarterly",56,2024-01-10,2024-01-11,2025-01-10,"active",132.84,1594.08,21000.01,4664.99
91,"health","annual",43,2025-09-12,2025-09-13,2028-09-12,"active",71.81,861.72,93453.3,4836.12
92,"auto","quarterly",81,2025-11-12,2025-11-13,2030-11-12,"suspended",81.17,974.04,92850.64,4784.81
93,"auto","annual",25,2025-08-11,2025-08-12,2026-08-12,"expired",128.1,1537.2,69550.03,2969.46
94,"home","quarterly",26,2025-04-04,2025-04-05,2026-04-05,"expired",68.03,816.36,48163.3,2107.22
95,"health","monthly",62,2025-11-07,2025-11-08,2026-11-08,"active",198.08,2376.96,92616.64,852.91
96,"health","monthly",75,2025-05-10,2025-05-11,2027-05-11,"active",188.2,2258.4,32671.78,3563.92
97,"home","monthly",12,2023-07-24,2023-07-25,2025-07-24,"active",70.87,850.44,52878.28,4062.93
98,"life","annual",12,2024-03-12,2024-03-13,2029-03-12,"renewed",117,1404,89718.97,1513.62
99,"auto","monthly",5,2024-08-14,2024-08-15,2025-08-15,"suspended",80.56,966.72,23758.08,282.29
100,"life","annual",29,2024-04-08,2024-04-09,2029-04-08,"renewed",59.21,710.52,70568.6,1319.37
